stim,id,age,AUC_sal,AUC_dist,age_group,precision,watched
Plane,17,7084,0.59333,0.58959,adult,1.985714286,2
Dogs,17,7084,0.57794,0.5717,adult,1.985714286,2
Feist,18,6858,0.60142,0.73682,adult,1.357142857,2
Pentatonix,18,6858,0.54597,0.67221,adult,1.357142857,2
Science,18,6858,0.44292,0.35825,adult,1.357142857,2
Plane,18,6858,0.56394,0.64063,adult,1.357142857,1
Dogs,18,6858,0.64937,0.58282,adult,1.357142857,2
Feist,19,6957,0.6276,0.68839,adult,1.15,2
Pentatonix,19,6957,0.62487,0.68675,adult,1.15,2
Science,19,6957,0.66186,0.6836,adult,1.15,2
Plane,19,6957,0.58303,0.57712,adult,1.15,2
Dogs,19,6957,0.60557,0.62049,adult,1.15,2
Feist,20,8100,0.56833,0.58836,adult,1.7,2
Pentatonix,20,8100,0.59701,0.54541,adult,1.7,2
Science,20,8100,0.70479,0.74743,adult,1.7,2
Plane,20,8100,0.49438,0.54979,adult,1.7,2
Dogs,20,8100,0.56466,0.52408,adult,1.7,2
Feist,21,7960,0.59775,0.67616,adult,1.628571429,2
Pentatonix,21,7960,0.58215,0.62222,adult,1.628571429,2
Science,21,7960,0.51197,0.40271,adult,1.628571429,2
Plane,21,7960,0.51027,0.4653,adult,1.628571429,2
Dogs,21,7960,0.52636,0.4874,adult,1.628571429,2
Feist,22,6657,0.57731,0.65671,adult,1.278571429,2
Pentatonix,22,6657,0.54378,0.55858,adult,1.278571429,2
Science,22,6657,0.61776,0.53861,adult,1.278571429,2
Plane,22,6657,0.52074,0.50734,adult,1.278571429,2
Dogs,22,6657,0.65874,0.52751,adult,1.278571429,2
Feist,23,7402,0.5976,0.70923,adult,1.535714286,2
Pentatonix,23,7402,0.56272,0.60285,adult,1.535714286,1
Science,23,7402,0.53464,0.57832,adult,1.535714286,3
Plane,23,7402,0.51353,0.57867,adult,1.535714286,2
Dogs,23,7402,0.60124,0.55262,adult,1.535714286,2
Feist,24,6951,0.56725,0.55234,adult,1.235714286,3
Pentatonix,24,6951,0.57046,0.61536,adult,1.235714286,3
Science,24,6951,0.60357,0.61152,adult,1.235714286,3
Plane,24,6951,0.63347,0.59712,adult,1.235714286,3
Dogs,24,6951,0.65072,0.63133,adult,1.235714286,3
Feist,25,3082,0.608,0.66447,8-10 y,1.3,2
Pentatonix,25,3082,0.55944,0.63858,8-10 y,1.3,2
Science,25,3082,0.55912,0.51942,8-10 y,1.3,2
Plane,25,3082,0.54021,0.57068,8-10 y,1.3,2
Dogs,25,3082,0.58512,0.5679,8-10 y,1.3,2
Feist,26,2049,0.60325,0.65031,4-6 y,1.828571429,2
Pentatonix,26,2049,0.59609,0.67548,4-6 y,1.828571429,2
Science,26,2049,0.53242,0.49684,4-6 y,1.828571429,2
Plane,26,2049,0.53843,0.54504,4-6 y,1.828571429,2
Dogs,26,2049,0.54726,0.54643,4-6 y,1.828571429,2
Feist,27,3313,0.53278,0.59851,8-10 y,1.614285714,2
Pentatonix,27,3313,0.56374,0.63786,8-10 y,1.614285714,2
Science,27,3313,0.61146,0.58212,8-10 y,1.614285714,2
Plane,27,3313,0.59829,0.65576,8-10 y,1.614285714,2
Dogs,27,3313,0.603,0.62032,8-10 y,1.614285714,2
Feist,28,1676,0.61806,0.71813,4-6 y,1.933333333,2
Pentatonix,28,1676,0.54392,0.60526,4-6 y,1.933333333,2
Plane,28,1676,0.59239,0.54859,4-6 y,1.933333333,2
Dogs,28,1676,0.56522,0.50892,4-6 y,1.933333333,2
Feist,29,3345,0.62171,0.76617,8-10 y,2.042857143,2
Pentatonix,29,3345,0.5718,0.64049,8-10 y,2.042857143,2
Science,29,3345,0.49908,0.46844,8-10 y,2.042857143,2
Plane,29,3345,0.51397,0.52459,8-10 y,2.042857143,2
Dogs,29,3345,0.54908,0.50482,8-10 y,2.042857143,2
Feist,30,3708,0.61031,0.57726,8-10 y,1.685714286,2
Pentatonix,30,3708,0.5695,0.6334,8-10 y,1.685714286,2
Science,30,3708,0.5601,0.53044,8-10 y,1.685714286,2
Plane,30,3708,0.58488,0.60753,8-10 y,1.685714286,2
Dogs,30,3708,0.62213,0.56797,8-10 y,1.685714286,2
Feist,31,3325,0.58158,0.52831,8-10 y,1.678571429,2
Pentatonix,31,3325,0.57509,0.71325,8-10 y,1.678571429,2
Science,31,3325,0.67763,0.69378,8-10 y,1.678571429,3
Plane,31,3325,0.47762,0.42105,8-10 y,1.678571429,2
Dogs,31,3325,0.59024,0.61578,8-10 y,1.678571429,2
Feist,32,660,0.58784,0.62454,1.5-2 y,2.375,2
Pentatonix,32,660,0.54334,0.64053,1.5-2 y,2.375,2
Science,32,660,0.70989,0.7757,1.5-2 y,2.375,2
Plane,32,660,0.56895,0.65577,1.5-2 y,2.375,2
Feist,33,1439,0.55917,0.62217,1.5-2 y,1.916666667,2
Pentatonix,33,1439,0.55399,0.53542,1.5-2 y,1.916666667,2
Science,33,1439,0.67694,0.55764,1.5-2 y,1.916666667,2
Plane,33,1439,0.55023,0.53499,1.5-2 y,1.916666667,2
Dogs,33,1439,0.58545,0.51604,1.5-2 y,1.916666667,2
Feist,34,1439,0.57115,0.61467,2-4 y,1.635714286,2
Pentatonix,34,1439,0.61331,0.58349,2-4 y,1.635714286,2
Science,34,1439,0.49305,0.51777,2-4 y,1.635714286,2
Plane,34,1439,0.56821,0.60971,2-4 y,1.635714286,2
Dogs,34,1439,0.52692,0.4012,2-4 y,1.635714286,2
Feist,35,3846,0.60295,0.75236,8-10 y,1.414285714,2
Pentatonix,35,3846,0.55334,0.6494,8-10 y,1.414285714,2
Science,35,3846,0.63499,0.59022,8-10 y,1.414285714,2
Plane,35,3846,0.57058,0.6132,8-10 y,1.414285714,2
Dogs,35,3846,0.62446,0.56564,8-10 y,1.414285714,2
Feist,36,3212,0.62454,0.68655,8-10 y,1.507142857,2
Pentatonix,36,3212,0.55049,0.68913,8-10 y,1.507142857,2
Science,36,3212,0.51343,0.45896,8-10 y,1.507142857,2
Plane,36,3212,0.53388,0.5215,8-10 y,1.507142857,2
Dogs,36,3212,0.61409,0.5769,8-10 y,1.507142857,2
Feist,37,180,0.59957,0.62031,.5-1 y,1.485714286,1
Pentatonix,37,180,0.58893,0.64556,.5-1 y,1.485714286,1
Science,37,180,0.67927,0.82317,.5-1 y,1.485714286,2
Plane,37,180,0.59959,0.60541,.5-1 y,1.485714286,2
Dogs,37,180,0.61225,0.54289,.5-1 y,1.485714286,2
Feist,38,659,0.55031,0.53412,1.5-2 y,1.407142857,2
Pentatonix,38,659,0.57334,0.64317,1.5-2 y,1.407142857,2
Science,38,659,0.64553,0.6642,1.5-2 y,1.407142857,2
Plane,38,659,0.562,0.67346,1.5-2 y,1.407142857,2
Dogs,38,659,0.63942,0.58908,1.5-2 y,1.407142857,2
Feist,41,3530,0.63595,0.77052,8-10 y,1.933333333,2
Pentatonix,41,3530,0.59583,0.65008,8-10 y,1.933333333,2
Science,41,3530,0.62257,0.53602,8-10 y,1.933333333,2
Plane,41,3530,0.56054,0.63052,8-10 y,1.933333333,2
Feist,44,285,0.63152,0.69146,.5-1 y,1.816666667,3
Pentatonix,44,285,0.56917,0.75917,.5-1 y,1.816666667,1
Plane,44,285,0.48053,0.63904,.5-1 y,1.816666667,2
Dogs,44,285,0.61609,0.65665,.5-1 y,1.816666667,2
Feist,45,1050,0.60967,0.73178,2-4 y,1.814285714,3
Pentatonix,45,1050,0.5143,0.64559,2-4 y,1.814285714,1
Science,45,1050,0.43707,0.33567,2-4 y,1.814285714,2
Plane,45,1050,0.60142,0.61875,2-4 y,1.814285714,2
Dogs,45,1050,0.68625,0.63895,2-4 y,1.814285714,2
Feist,46,414,0.6036,0.62126,1-1.5 y,1.4,1
Pentatonix,46,414,0.60154,0.53233,1-1.5 y,1.4,2
